"","movement","environment","tactic","run","total_energy","total_cpu","total_ram"
"190","AUTONOMOUS","empty","baseline",10,1384394.71,19.94144,23.83776
"191","AUTONOMOUS","empty","ee1",1,1349376.53,20.008487394958,23.2083193277311
"192","AUTONOMOUS","empty","ee1",2,1328850.03,20.0890756302521,24.4811764705882
"193","AUTONOMOUS","empty","ee1",3,1289014.445,20.0700840336134,23.8593277310924
"194","AUTONOMOUS","empty","ee1",4,1320694.445,19.816218487395,23.1814285714286
"195","AUTONOMOUS","empty","ee1",5,1292324.32,19.900756302521,23.8381512605042
"196","AUTONOMOUS","empty","ee1",6,1297926.96,19.9565,23.8141666666667
"197","AUTONOMOUS","empty","ee1",7,1310973.855,19.7048739495798,23.8180672268908
"198","AUTONOMOUS","empty","ee1",8,1281999.84,20.6143697478992,23.840756302521
"199","AUTONOMOUS","empty","ee1",9,1257329.51,19.7714166666667,23.7961666666667
"200","AUTONOMOUS","empty","ee1",10,1274087.73,20.07275,23.1985833333333
"201","AUTONOMOUS","empty","ee2",1,1255129,18.1056302521008,23.7609243697479
"202","AUTONOMOUS","empty","ee2",2,1245369.665,17.8035537190083,23.7969421487603
"203","AUTONOMOUS","empty","ee2",3,1283747.715,17.6389166666667,23.7905833333333
"204","AUTONOMOUS","empty","ee2",4,1282032.405,18.0150757575758,23.1757575757576
"205","AUTONOMOUS","empty","ee2",5,1281956.34,17.7093893129771,23.7988549618321
"206","AUTONOMOUS","empty","ee2",6,1270648.8,17.9263865546218,23.7971428571429
"207","AUTONOMOUS","empty","ee2",7,1302820.96,17.2709848484849,23.8351515151515
"208","AUTONOMOUS","empty","ee2",8,1279382.825,17.270826446281,23.798347107438
"209","AUTONOMOUS","empty","ee2",9,1359560.825,17.9740458015267,23.7993129770992
"210","AUTONOMOUS","empty","ee2",10,1284504.855,17.9722131147541,23.765737704918
"211","AUTONOMOUS","empty","ee3",1,1345517.06,18.375,23.1514754098361
"212","AUTONOMOUS","empty","ee3",2,1351788.785,18.3372357723577,23.1092682926829
"213","AUTONOMOUS","empty","ee3",3,1399769.15,17.9618461538462,23.7486923076923
"214","AUTONOMOUS","empty","ee3",4,1309385.6,18.33765625,23.79765625
"215","AUTONOMOUS","empty","ee3",5,1389743.495,18.4825190839695,23.7204580152672
"216","AUTONOMOUS","empty","ee3",6,1309529.045,18.3347727272727,23.7483333333333
"217","AUTONOMOUS","empty","ee3",7,1354757.895,18.3494615384615,23.1292307692308
"218","AUTONOMOUS","empty","ee3",8,1406115.51,18.497890625,23.733984375
"219","AUTONOMOUS","empty","ee3",9,1360301.62,18.0867175572519,23.7559541984733
"220","AUTONOMOUS","empty","ee3",10,1429107.725,18.1714393939394,23.1070454545455
"221","AUTONOMOUS","empty","ee4",1,1284202.4,20.5494117647059,24.3868907563025
"222","AUTONOMOUS","empty","ee4",2,1315512.645,20.7965546218487,24.4240336134454
"223","AUTONOMOUS","empty","ee4",3,1283988.125,20.6863865546219,24.333025210084
"224","AUTONOMOUS","empty","ee4",4,1317488.07,20.3678151260504,24.4535294117647
"225","AUTONOMOUS","empty","ee4",5,1244866.71,20.39275,24.4211666666667
"226","AUTONOMOUS","empty","ee4",6,1272871.49,20.43175,24.44175
"227","AUTONOMOUS","empty","ee4",7,1310712.07,20.3572268907563,23.8490756302521
"228","AUTONOMOUS","empty","ee4",8,1296870.855,20.5710084033613,24.4326890756303
"229","AUTONOMOUS","empty","ee4",9,1232904.31,20.5324369747899,25.0421008403361
"230","AUTONOMOUS","empty","ee4",10,1253056.57,20.4555462184874,24.4111764705882
"231","AUTONOMOUS","empty","combined",1,1269817.705,19.8165354330709,24.5608661417323
"232","AUTONOMOUS","empty","combined",2,1190784.835,19.7733333333333,25.2060465116279
"233","AUTONOMOUS","empty","combined",3,1274439.315,19.14109375,23.991875
"234","AUTONOMOUS","empty","combined",4,1296019.195,19.618046875,25.191796875
